1,1,-1,8,2024-07-10,2024-07-20,REJECTED,1;3;5;6,9086.0
2,1,-1,4,2024-09-01,2024-09-07,REJECTED,1;2;3;4;5;9,7532.0
3,2,11,7,2024-08-01,2024-08-03,CONFIRMED,1;3;8,2238.0
4,2,1,1,2024-07-21,2024-08-25,CONFIRMED,1;4;5;6;7,28296.0
5,3,6,4,2024-09-08,2024-09-12,CONFIRMED,4;6,2900.0
6,3,1,1,2024-10-08,2024-10-12,CONFIRMED,,500.0
7,4,-1,7,2024-07-25,2024-07-28,REJECTED,1;2;8;9,3744.0
8,4,-1,4,2024-08-29,2024-08-30,CANCELLED,1;2;4;5;6;8;9,2532.0
9,5,-1,1,2024-10-01,2024-10-05,CHANGED_MIND,1;2;8;9,3180.0
10,5,-1,4,2024-11-01,2024-11-05,CANCELLED,1;2;3;4;8;9,5630.0
11,6,-1,8,2024-12-01,2024-12-07,CHANGED_MIND,2;4;8;9,8260.0
12,6,-1,7,2024-12-15,2024-12-19,REJECTED,1;2;4;7;8;9,6680.0
13,5,-1,4,2024-08-09,2024-08-13,REJECTED,1;2;3,2580.0
14,4,9,6,2024-09-01,2024-09-12,CONFIRMED,3;4;5,10080.0
15,3,-1,7,2024-10-10,2024-10-17,CANCELLED,1;9,4928.0
16,1,-1,1,2024-07-03,2024-07-07,CHECKED_OUT,1;2;3;9;6;7;8,4780.0
17,4,-1,5,2024-07-03,2024-07-10,CHECKED_OUT,1;6;7;8;3;4,9008.0
18,3,11,7,2024-07-05,2024-07-10,CONFIRMED,1;2;5;9,5316.0
19,2,6,4,2024-07-05,2024-07-09,CONFIRMED,1;2;8;9,3930.0
20,6,-1,8,2024-07-05,2024-07-14,CHECKED_OUT,1;2;3;8;9;6,11560.0
21,1,-1,1,2024-07-05,2024-07-16,CHECKED_OUT,4;6;3;5,8040.0
